id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,game_json,game_json_url,game_date_time,game_date,PBP,team_box,player_box
264000063,s:40~l:41~e:264000063~c:264000063,2006-04-04T01:21Z,0,TRUE,FALSE,FALSE,FALSE,2006-04-04T01:21Z,event,CHAMPIONSHIP AT INDIANAPOLIS,,,3888,RCA Dome,,,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,TRUE,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,57,FALSE,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021a5,fa4616,TRUE,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,73,TRUE,264000063,2006,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/264000063.json,2006-04-04T01:21:00Z,2006-04-03,TRUE,TRUE,TRUE
264000031,s:40~l:41~e:264000031~c:264000031,2006-04-02T01:47Z,0,TRUE,FALSE,FALSE,FALSE,2006-04-02T01:47Z,event,FINAL FOUR AT INDIANAPOLIS,,,,,,,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,TRUE,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,59,TRUE,99,s:40~l:41~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,461d7c,fdd023,TRUE,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,45,FALSE,264000031,2006,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/264000031.json,2006-04-02T01:47:00Z,2006-04-01,TRUE,TRUE,TRUE
264000062,s:40~l:41~e:264000062~c:264000062,2006-04-01T23:07Z,0,TRUE,FALSE,FALSE,FALSE,2006-04-01T23:07Z,event,FINAL FOUR AT INDIANAPOLIS,,,,,,,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021a5,fa4616,TRUE,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,73,TRUE,2244,s:40~l:41~t:2244,George Mason,Patriots,GMU,George Mason Patriots,George Mason,016600,ecb010,TRUE,2167,https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,10,58,FALSE,264000062,2006,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/264000062.json,2006-04-01T23:07:00Z,2006-04-01,TRUE,TRUE,TRUE
260890130,s:40~l:41~e:260890130~c:260890130,2006-03-31T00:00Z,7054,TRUE,FALSE,FALSE,FALSE,2006-03-31T00:00Z,event,NIT CHAMPIONSHIP AT MADISON SQUARE GARDEN,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,ffcb05,TRUE,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,64,FALSE,2579,s:40~l:41~t:2579,South Carolina,Gamecocks,SC,South Carolina Gamecocks,South Carolina,73000a,ffffff,TRUE,1962,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,23,76,TRUE,260890130,2006,3,,,,,,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260890130.json,2006-03-31T00:00:00Z,2006-03-30,TRUE,TRUE,TRUE
260870097,s:40~l:41~e:260870097~c:260870097,2006-03-29T02:00Z,7473,TRUE,FALSE,FALSE,FALSE,2006-03-29T02:00Z,event,NIT AT MADISON SQUARE GARDEN,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,97,s:40~l:41~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,c9001f,000000,TRUE,2030,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,4,63,FALSE,2579,s:40~l:41~t:2579,South Carolina,Gamecocks,SC,South Carolina Gamecocks,South Carolina,73000a,ffffff,TRUE,1962,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,23,78,TRUE,260870097,2006,3,,,,,,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260870097.json,2006-03-29T02:00:00Z,2006-03-28,TRUE,TRUE,TRUE
260870130,s:40~l:41~e:260870130~c:260870130,2006-03-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-29T00:00Z,event,NIT SEMIFINALS AT MADISON SQUARE GARDEN,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,ffcb05,TRUE,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,66,TRUE,295,s:40~l:41~t:295,Old Dominion,Monarchs,ODU,Old Dominion Monarchs,Old Dominion,00507d,a1d2f1,TRUE,1940,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,10,43,FALSE,260870130,2006,3,,,,,,,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/260870130.json,2006-03-29T00:00:00Z,2006-03-28,TRUE,TRUE,TRUE
264000046,s:40~l:41~e:264000046~c:264000046,2006-03-26T22:05Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-26T22:05Z,event,MINNEAPOLIS REGIONAL AT MINNEAPOLIS,,,,,,,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,222,s:40~l:41~t:222,Villanova,Wildcats,VILL,Villanova Wildcats,Villanova,00205b,13b5ea,TRUE,1969,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png,4,62,FALSE,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021a5,fa4616,TRUE,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,75,TRUE,264000046,2006,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/264000046.json,2006-03-26T22:05:00Z,2006-03-26,TRUE,TRUE,TRUE
264000030,s:40~l:41~e:264000030~c:264000030,2006-03-26T19:40Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-26T19:40Z,event,WASHINGTON DC REGIONAL AT WASHINGTON DC,,,1823,Capital One Arena,Washington,DC,20600,TRUE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,84,FALSE,2244,s:40~l:41~t:2244,George Mason,Patriots,GMU,George Mason Patriots,George Mason,016600,ecb010,TRUE,2167,https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,10,86,TRUE,264000030,2006,3,OT,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/264000030.json,2006-03-26T19:40:00Z,2006-03-26,TRUE,TRUE,TRUE
264000015,s:40~l:41~e:264000015~c:264000015,2006-03-26T00:05Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-26T00:05Z,event,OAKLAND REGIONAL AT OAKLAND CA,,,2465,ORACLE Arena,Oakland,CA,0,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,235,s:40~l:41~t:235,Memphis,Tigers,MEM,Memphis Tigers,Memphis,004991,8e908f,TRUE,1392,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,11,45,FALSE,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,TRUE,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,50,TRUE,264000015,2006,3,,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/264000015.json,2006-03-26T00:05:00Z,2006-03-25,TRUE,TRUE,TRUE
264000061,s:40~l:41~e:264000061~c:264000061,2006-03-25T21:40Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-25T21:40Z,event,ATLANTA REGIONAL AT ATLANTA,,,3495,Georgia Dome,Atlanta,GA,0,FALSE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,c15d26,ffffff,TRUE,7317,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,60,FALSE,99,s:40~l:41~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,461d7c,fdd023,TRUE,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,70,TRUE,264000061,2006,3,OT,,,,,22,TRUE,https://raw.githubusercontent.com/sportsdataverse/hoopR-mbb-raw/main/mbb/json/final/264000061.json,2006-03-25T21:40:00Z,2006-03-25,TRUE,TRUE,TRUE
