id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,game_date_time,game_date,player_box
234000063,s:40~l:41~e:234000063~c:234000063,2003-04-08T01:18Z,54524,TRUE,FALSE,FALSE,FALSE,2003-04-08T01:18Z,event,NCAA CHAMPIONSHIP,,,3493,Caesars Superdome,New Orleans,LA,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0051ba,e8000d,TRUE,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,78,FALSE,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,ff6500,000e54,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,81,TRUE,234000063,2003,3,,,,,,22,2003-04-08T01:18:00Z,2003-04-07,FALSE
234000062,s:40~l:41~e:234000062~c:234000062,2003-04-06T01:47Z,54432,TRUE,FALSE,FALSE,FALSE,2003-04-06T01:47Z,event,FINAL FOUR,,,3493,Caesars Superdome,New Orleans,LA,0,TRUE,10,0:10,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,c15d26,ffffff,TRUE,7317,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,84,FALSE,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,ff6500,000e54,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,95,TRUE,234000062,2003,3,,,,,,22,2003-04-06T01:47:00Z,2003-04-05,FALSE
234000031,s:40~l:41~e:234000031~c:234000031,2003-04-05T23:07Z,54432,TRUE,FALSE,FALSE,FALSE,2003-04-05T23:07Z,event,FINAL FOUR,,,3493,Caesars Superdome,New Orleans,LA,0,TRUE,5,0:05,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0051ba,e8000d,TRUE,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,94,TRUE,269,s:40~l:41~t:269,Marquette,Golden Eagles,MARQ,Marquette Golden Eagles,Marquette,083963,ffffff,TRUE,5777,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,11,61,FALSE,234000031,2003,3,,,,,,22,2003-04-05T23:07:00Z,2003-04-05,FALSE
230932599,s:40~l:41~e:230932599~c:230932599,2003-04-04T01:00Z,12406,TRUE,FALSE,FALSE,FALSE,2003-04-04T01:00Z,event,NIT CHAMPIONSHIP,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,18,0:18,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2599,s:40~l:41~t:2599,St. John's,Red Storm,SJU,St. John's Red Storm,St John's,d10000,101010,TRUE,2019,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png,4,70,TRUE,46,s:40~l:41~t:46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,TRUE,1823,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,4,67,FALSE,230932599,2003,3,,,,,,,2003-04-04T01:00:00Z,2003-04-03,FALSE
230932641,s:40~l:41~e:230932641~c:230932641,2003-04-03T22:30Z,0,TRUE,FALSE,FALSE,FALSE,2003-04-03T22:30Z,event,NIT CONSOLATION,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2641,s:40~l:41~t:2641,Texas Tech,Red Raiders,TTU,Texas Tech Red Raiders,Texas Tech,C80025,231f20,TRUE,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,71,TRUE,135,s:40~l:41~t:135,Minnesota,Golden Gophers,MINN,Minnesota Golden Gophers,Minnesota,981a31,981a31,TRUE,2094,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,7,61,FALSE,230932641,2003,3,,,,,,,2003-04-03T22:30:00Z,2003-04-03,FALSE
230912641,s:40~l:41~e:230912641~c:230912641,2003-04-02T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-04-02T02:00Z,event,NIT SEMIFINALS,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,3,0:03,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2641,s:40~l:41~t:2641,Texas Tech,Red Raiders,TTU,Texas Tech Red Raiders,Texas Tech,C80025,231f20,TRUE,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,63,FALSE,2599,s:40~l:41~t:2599,St. John's,Red Storm,SJU,St. John's Red Storm,St John's,d10000,101010,TRUE,2019,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png,4,64,TRUE,230912641,2003,3,,,,,,,2003-04-02T02:00:00Z,2003-04-01,FALSE
230910135,s:40~l:41~e:230910135~c:230910135,2003-04-02T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-04-02T00:00Z,event,NIT SEMIFINALS,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,8,0:08,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,135,s:40~l:41~t:135,Minnesota,Golden Gophers,MINN,Minnesota Golden Gophers,Minnesota,981a31,981a31,TRUE,2094,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,7,74,FALSE,46,s:40~l:41~t:46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,TRUE,1823,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,4,88,TRUE,230910135,2003,3,,,,,,,2003-04-02T00:00:00Z,2003-04-01,FALSE
234000030,s:40~l:41~e:234000030~c:234000030,2003-03-30T22:05Z,30169,TRUE,FALSE,FALSE,FALSE,2003-03-30T22:05Z,event,SOUTH REGIONAL,,,,,,,,,15,0:15,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,c15d26,ffffff,TRUE,7317,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,85,TRUE,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,18453B,ffffff,TRUE,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,76,FALSE,234000030,2003,3,,,,,,22,2003-03-30T22:05:00Z,2003-03-30,FALSE
234000046,s:40~l:41~e:234000046~c:234000046,2003-03-30T19:40Z,15207,TRUE,FALSE,FALSE,FALSE,2003-03-30T19:40Z,event,EAST REGIONAL,,,20,MVP Arena,Albany,NY,15727,TRUE,31,0:31,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,201,s:40~l:41~t:201,Oklahoma,Sooners,OU,Oklahoma Sooners,Oklahoma,9d2235,ffffff,TRUE,1991,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,8,47,FALSE,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,ff6500,000e54,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,63,TRUE,234000046,2003,3,,,,,,22,2003-03-30T19:40:00Z,2003-03-30,FALSE
234000015,s:40~l:41~e:234000015~c:234000015,2003-03-30T00:05Z,17439,TRUE,FALSE,FALSE,FALSE,2003-03-30T00:05Z,event,WEST REGIONAL,,,1842,Honda Center,Anaheim,CA,0,FALSE,7,0:07,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,12,s:40~l:41~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,0c234b,ab0520,TRUE,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,75,FALSE,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0051ba,e8000d,TRUE,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,78,TRUE,234000015,2003,3,,,,,,22,2003-03-30T00:05:00Z,2003-03-29,FALSE
