season,row_count,generated_at_utc,source_endpoint
2003,2815,2026-07-29 12:12:43 UTC,derived from espn_mbb pbp
2006,165562,2026-07-29 12:12:52 UTC,derived from espn_mbb pbp
2007,243478,2026-07-29 12:13:21 UTC,derived from espn_mbb pbp
2008,420305,2026-07-29 12:13:57 UTC,derived from espn_mbb pbp
2009,552858,2026-07-29 12:14:51 UTC,derived from espn_mbb pbp
2010,588378,2026-07-29 12:16:01 UTC,derived from espn_mbb pbp
2011,523999,2026-07-29 12:17:07 UTC,derived from espn_mbb pbp
2012,515845,2026-07-29 12:18:13 UTC,derived from espn_mbb pbp
2013,580497,2026-07-29 12:19:18 UTC,derived from espn_mbb pbp
2014,784865,2026-07-29 12:20:31 UTC,derived from espn_mbb pbp
2015,803389,2026-07-29 12:22:12 UTC,derived from espn_mbb pbp
2016,851494,2026-07-29 12:23:56 UTC,derived from espn_mbb pbp
2017,857941,2026-07-29 12:25:41 UTC,derived from espn_mbb pbp
2018,860585,2026-07-29 12:27:17 UTC,derived from espn_mbb pbp
2019,839915,2026-07-29 12:29:03 UTC,derived from espn_mbb pbp
2020,818482,2026-07-29 12:30:43 UTC,derived from espn_mbb pbp
2021,608140,2026-07-29 12:32:23 UTC,derived from espn_mbb pbp
2022,873219,2026-07-29 12:33:47 UTC,derived from espn_mbb pbp
2023,920595,2026-07-29 12:35:32 UTC,derived from espn_mbb pbp
2024,957173,2026-07-29 12:37:20 UTC,derived from espn_mbb pbp
2025,936510,2026-07-29 12:39:09 UTC,derived from espn_mbb pbp
2026,991836,2026-08-07 16:57:21 UTC,derived from espn_mbb pbp
